model	translation	source	text	reference
Online-Z.1629	"With flyers and views in Facebook groups, the Kings searched for their beloved dog. But days turned into weeks. ′′ I never gave up. I never lost hope "", Carole King told Daily Inter Lake, who quit her postal job to continue her quest for Katie."	paz-online.de.75891	"Mit Flyern und Aufrufen in Facebook-Gruppen suchten die Kings nach ihrem geliebten Hund. Doch aus Tagen wurden Wochen. ""Ich habe nie aufgegeben. Ich habe nie die Hoffnung verloren"", sagte Carole King dem ""Daily Inter Lake"", die ihren Job als Postangestellte kündigte, um ihre Suche nach Katie fortzusetzen."	"With flyers and calls in Facebook groups, the Kings searched for their beloved dog. But days turned into weeks. ""I never gave up. I never lost hope,"" said Carole King to the ""Daily Inter Lake,"" and quite her job as a postal worker to continue looking for Katie."
Online-Z.1629	′′ The tears flowed ′′	paz-online.de.75891	"""Die Tränen flossen"""	"""The Tears Flowed"""
Online-Z.1629	"57 days after Katie's disappearance, Carole King got a call: A man reached out and said Katie was in his yard. But by the time King got there, Katie had already disappeared. She searched the neighborhood and suddenly her dog was under a tree. ′′ I just hugged her. I didn't want to let her go "", King recalled ′′ Daily Inter Lake "". ′′ The tears were flowing. People stopped in their vehicles, got out and hugged us. I think the whole neighborhood knew we had found them ""."	paz-online.de.75891	"57 Tage nach Katies Verschwinden bekam Carole King einen Anruf: Ein Mann meldete sich und sagte, dass sich Katie in seinem Hof befände. Doch als King dort ankam, war Katie bereits wieder verschwunden. Sie suchte die Nachbarschaft ab und plötzlich stand ihre Hündin unter einem Baum. ""Ich habe sie nur umarmt. Ich wollte sie nicht gehen lassen"", erinnerte sich King laut ""Daily Inter Lake"". ""Die Tränen flossen. Die Leute hielten in ihren Fahrzeugen an, stiegen aus und umarmten uns. Ich glaube, die ganze Nachbarschaft wusste, dass wir sie gefunden hatten""."	"Fifty-seven days after Katie's disappearance, Carole King got a call. A man answered and said that Katie was in his yard. But when King arrived, Katie had already run off again. She searched the neighborhood and suddenly saw her dog standing under a tree. ""I embraced her. I never wanted to let go,"" King remembered, according to the ""Daily Inter Lake."" ""The tears flowed. People stopped their cars, got out, and hugged us. I believe the whole neighborhood knew we had found her."""
Online-Z.1629	Losses in the Bundeswehr: Machine guns disappear without a trace	n-tv.89662	Verluste bei der Bundeswehr: Maschinengewehre verschwinden spurlos	Losses for the German Army: Machine Guns Disappear Without a Trace
Online-Z.1629	Friday, September 27., 2019	n-tv.89662	Freitag, 27. September 2019	Friday, September 27, 2019
Online-Z.1629	Six MG3 machine guns are still missing.	n-tv.89662	Sechs Maschinengewehre des Typs MG3 sind nach wie vor verschwunden.	Six MG3 machine guns are still missing.
Online-Z.1629	In recent years, the Bundeswehr has lost numerous weapons and tens of thousands of bullets of ammo. There are also three machine guns underneath. The whereabouts are unclear in most cases. The opposition speaks of a ′′ scary ′′ extent.	n-tv.89662	"In den vergangenen Jahren gehen der Bundeswehr zahlreiche Waffen und zehntausende Schuss Munition verloren. Darunter sind auch drei Maschinengewehre. Der Verbleib ist in den meisten Fällen unklar. Die Opposition spricht von einem ""beängstigenden"" Ausmaß."	"In recent years, the German Federal Army has lost numerous weapons and ten thousand rounds of ammunition. These include three machine guns. In most cases, their whereabouts are unclear. According to the opposition, this is an ""alarming"" extent."
Online-Z.1629	In the Bundeswehr, weapons and ammunition keep disappearing - many of them so far without a trace. Since early 2014, the troop has recorded the loss of 39 guns, 39 gun parts and nearly 20.000 rounds of ammunition. This is from a classified list of the Federal Ministry of Defense, which the German editorial network reports on.	n-tv.89662	Bei der Bundeswehr verschwinden immer wieder Waffen und Munition - viele davon bisher spurlos. Seit Anfang 2014 verbuchte die Truppe den Verlust von 39 Waffen, 39 Waffenteilen und fast 20.000 Schuss Munition. Das geht aus einer als Verschlusssache eingestuften Auflistung des Bundesverteidigungsministeriums hervor, über die das Redaktionsnetzwerk Deutschland berichtet.	"The German Army is continuing to lose weapons and ammunition, often without a trace. Since the beginning of 2014, the armed forces has registered a loss of 39 weapons, 39 weapon components, and almost 20,000 rounds of ammunition. This is revealed in a classified listing of the German Ministry of Defense on which the RedaktionsNetzwerk Deutschland (RND) (""Editor Network Germany"") has reported."
Online-Z.1629	According to the paper from the office of Defense Secretary Peter Tauber from the CDU, two weapons, a gun part and 3474 rounds of ammunition have so far resurfaced. The still disappeared weapons and weapons parts are six MG3 machine guns, eleven G3 guns, four G36, guns, six signal guns and two zwei guns. In addition, there are missing 30 MG3 machine guns.	n-tv.89662	Laut dem Papier aus dem Büro von Verteidigungsstaatssekretär Peter Tauber von der CDU sind bislang zwei Waffen, ein Waffenteil und 3474 Schuss Munition wieder aufgetaucht. Bei den nach wie vor verschwundenen Waffen und Waffenteilen handelt es sich unter anderem um sechs Maschinengewehre vom Typ MG3, elf Gewehre vom Typ G3, vier Gewehre vom Typ G36, sechs Signalpistolen sowie zwei Pistolen vom Typ P8. Zudem fehlen 30 Waffenrohre für Maschinengewehre vom Typ MG3.	According to the paper from the office of Defense State Secretary Peter Tauber of the CDU, two weapons, one weapon component, and 3,474 rounds of ammunition have resurfaced so far. The weapons and weapon components that are still missing include six MG3 machine guns, eleven G3 rifles, four G36 rifles, six signal pistols, and two P8 pistols. And 30 MG3 machine gun barrels are missing.
Online-Z.1629	"The scope of gun and ammunition losses in the Bundeswehr is ′′ scary "", said Left-wing member Martina Renner. This is all the more true, since hardly anything was found during the investigation. The left-wing politician spoke of a ′′ poor balance sheet "". Renner criticized that the listing does not reveal whether there is also the one involved in the investigation into the suspicion of the federal army officer Franco A, who is suspected of terrorism. has been found. ′′ And that though a supporter of Franco A. Recently convicted of possession of these ammunition "", Renner said."	n-tv.89662	"Der Umfang von Waffen- und Munitionsverlusten bei der Bundeswehr sei ""beängstigend"", sagte die Linken-Bundestagsabgeordnete Martina Renner. Dies gelte umso mehr, da im Zuge von Ermittlungen kaum etwas wieder aufgefunden worden sei. Die Linken-Politikerin sprach von einer ""dürftigen Bilanz"". Renner kritisierte, dass an der Auflistung nicht erkennbar sei, ob sich unter der verschwundenen Munition auch diejenige befinde, die im Zusammenhang mit den Ermittlungen gegen den unter Terrorverdacht stehenden Bundeswehroffizier Franco A. gefunden worden sei. ""Und das obwohl ein Unterstützer von Franco A. kürzlich wegen des Besitzes dieser Munition verurteilt wurde"", sagte Renner."	"The extent of the loss of weapons and ammunition by the German Army is ""alarming,"" said Martina Renner, a member of the Left party in the Bundestag. This is all the more true since hardly anything was found during the investigations. The politician from the Left party spoke of a ""poor balance sheet."" Renner criticized the fact that the listing did not make clear whether the disappeared ammunition included that which was found in connection with the investigations against the German Army officer Franco A., who is suspected of terrorism. ""And this, although a supporter of Franco A. was recently sentenced for the possession of this ammunition,"" said Renner."
Online-Z.1629	Oil tanker ′′ Stena Impero ′′ left Iranian port	tt.com.10202	"Öltanker ""Stena Impero"" verließ iranischen Hafen"	‘Stena Impero' Oil Tanker left Iranian port
Online-Z.1629	More than two months after its establishment by the Iranian authorities, the British oil tanker ′′ Stena Impero ′′ left Bandar Abbas port this Friday. As Refinitive's ship observation data showed, the tanker set in motion and left Iranian port. Port Rashid is the destination port in the United Arab Emirates.	tt.com.10202	"Mehr als zwei Monate nach seiner Festsetzung durch die iranischen Behörden hat der britische Öltanker ""Stena Impero"" am heutigen Freitag den Hafen der Stadt Bandar Abbas verlassen. Wie Schiffsbeobachtungsdaten von Refinitiv zeigten, setzte sich der Tanker in Bewegung und verließ den iranischen Hafen. Als Zielhafen wurde Port Rashid in den Vereinigten Arabischen Emiraten angegeben."	More than two months after its determination by the Iranian authorities, the British oil tanker ‘Stena Impero' has left the port in the city of Bandar Abbas this Friday. As Refinitiv ship observation data showed, the tanker set in motion and left the Iranian port. Port Rashid in the United Arab Emirates was given as the destination port.
Online-Z.1629	The tanker had actually been released by the Iranian government on Monday, but initially it remained in Iranian waters. The shipping company said they wanted to wait for an official message from Tehran.	tt.com.10202	Der Tanker war eigentlich schon am Montag von der iranischen Regierung freigegeben worden, doch blieb er zunächst weiter in iranischen Gewässern. Aus der Reederei hieß es, dass man einen offiziellen Bescheid aus Teheran abwarten wollte.	In practice, the tanker had already been released by the Iranian government on Monday, though it remained in Iranian waters for a time. The speech indicated that an official notification from Tehran was preferred.
Online-Z.1629	Stena Impero had been charged with violating security regulations by the Iranian Revolutionary Guards in Hormuz Seestraße on 19. July. However, Iran was suspected to respond to the controversial, temporary fixing of an Iranian oil tanker before Gibraltar belonging to Great Britain.	tt.com.10202	"Die ""Stena Impero"" war am 19. Juli von den iranischen Revolutionsgarden in der Seestraße von Hormuz unter dem Vorwurf aufgebracht worden, gegen Sicherheitsbestimmungen verstoßen zu haben. Es wurde jedoch vermutet, dass der Iran damit auf die umstrittene, vorübergehende Festsetzung eines iranischen Öltankers vor dem zu Großbritannien gehörenden Gibraltar reagierte."	On the 19th July, the ‘Stena Impero' had been accused by the Iranian Revolutionary Guard in the Hormuz Strait of violating safety regulations. However, it was suspected that Iran was reacting to the controversial temporary determination of an Iranian oil tanker by British run Gibraltar.
Online-Z.1629	The road of Hormuz is one of the most important sea roads in the world. It connects the Persian Gulf to the Indian Ocean. Much of the global oil export is shipped through the strait. The tensions in the region have increased tremendously in recent months. Merchant shipping has been dragged into the US-Iran conflict. There were several incidents involving tankers and drones.	tt.com.10202	Die Straße von Hormuz ist eine der wichtigsten Seestraßen der Welt. Sie verbindet den Persischen Golf mit dem Indischen Ozean. Ein Großteil des globalen Ölexports wird durch die Meerenge verschifft. Die Spannungen in der Region hatten sich in den vergangenen Monaten immens verschärft. Die Handelsschifffahrt wurde in den Konflikt zwischen den USA und dem Iran hineingezogen. Es kam zu mehreren Zwischenfällen mit Tankern und Drohnen.	The Strait of Hormuz is one of the most important Straits in the world. In connects the Persian Gulf with the Indian Ocean. Much of the world's global oil exports are shipped through this strait. The tensions in the area had been escalating immeasurably during the past few months. Merchant shipping has been drawn into the conflict between USA and Iran. There have been several incidents with tankers and drones.
Online-Z.1629	Merkel pays tribute to people's courage in the peaceful revolution	azonline.de.41866	Merkel würdigt den Mut der Menschen bei der Friedlichen Revolution	Merkel hails people's courage in the Peaceful Revolution
Online-Z.1629	"Chancellor Angela Merkel has appreciated the commitment of the people in the GDR who took to the streets 30 years ago during the Peaceful Revolution. In autumn 1989, courageous citizens would have waved the then GDR regime, Merkel said at a ceremony of the Thuringian CDU faction on the upcoming German Unity Day in Erfurt. The Chancellor recalled among other things the occupation of Stasi headquarters. ′′ State security has been taken away from terror "", she said."	azonline.de.41866	"Bundeskanzlerin Angela Merkel hat das Engagement der Menschen in der DDR gewürdigt, die vor 30 Jahren bei der Friedlichen Revolution auf die Straße gegangen sind. Im Herbst 1989 hätten mutige Bürger das damalige DDR-Regime ins Wanken gebracht, sagte Merkel bei einem Festakt der Thüringer CDU-Fraktion zum bevorstehenden Tag der Deutschen Einheit in Erfurt. Die Kanzlerin erinnerte unter anderem an die Besetzung der Stasi-Zentrale. ""Der Staatssicherheit wurde der Schrecken genommen"", sagte sie."	"Federal Chancellor Angela Merkel has praised the engagement of people in the GDR who took to the streets in the Peaceful Revolution 30 years ago. In the fall of 1989 courageous citizens toppled the East German regime, said Merkel at a ceremony held by the Thuringian branch of the CDU party in Erfurt marking the forthcoming Day of German Unity. The chancellor recalled events such as the occupation of the Stasi headquarters. ""The State Security police were deprived of their terror,"" she said."
Online-Z.1629	Musk strives for delivery record	mittelbayerische.de.227707	Musk strebt Auslieferungsrekord an	Musk seeks delivery record
Online-Z.1629	Tesla's quarter may have record ready. Despite the delivery boom, there were last losses at the electric car corporation.	mittelbayerische.de.227707	Teslas Quartal hält möglicherweise Rekord bereit. Trotz Auslieferungsboom gab es zuletzt Verluste beim Elektroautokonzern.	Tesla's quarter may be record-breaking. Despite the boom in deliveries, the electric car company has seen losses recently.
Online-Z.1629	"NYC. Tesla boss Elon Musk has given his electric car company a strong boost on the stock market with the prospect of new record numbers. ′′ We have the chance to reach our first quarter with 100.000 deliveries "", Musk wrote in an email to Tesla staff published by the industry blog ′′ Electrek "","	mittelbayerische.de.227707	"New York.Tesla-Chef Elon Musk hat seinem Elektroautokonzern mit der Aussicht auf neue Rekordzahlen kräftig Auftrieb an der Börse gegeben. ""Wir haben die Chance, unser erstes Quartal mit 100.000 Auslieferungen zu erreichen"", schrieb Musk in einer vom Branchenblog ""Electrek"" veröffentlichten E-Mail an Tesla-Mitarbeiter."	"New York. Tesla boss Elon Musk has given his electric car company a strong boost on the stock market with the prospect of new record numbers. ""We have the opportunity to reach 100,000 deliveries in our first quarter,"" Musk wrote in an email to Tesla employees published by industry blog Electrek."
Online-Z.1629	Demand is strong, so Tesla could record orders in 110000, Musk's circular said. The challenge is to get the cars to the clientele quickly. To do so, Tesla has to offer as many resources as possible at the end of the quarter.	mittelbayerische.de.227707	Die Nachfrage sei stark, so dass Tesla 110000 Bestellungen verbuchen könnte, hieß es in Musks Rundschreiben weiter. Die Herausforderung sei, die Autos zügig an die Kundschaft zu bringen. Dazu müsse Tesla zum Quartalsende so viele Ressourcen wie möglich aufbieten.	Demand is so strong that Tesla was able to record 110000 orders, according to Musk's newsletter. The challenge is getting the cars to customers quickly. To do so, Tesla had to mobilize as many resources as possible at quarter-end.
Online-Z.1629	Investors liked this: Tesla's shares went out of trading with a plus of over six percent. The course hasn't gained this strong in almost four months. In the second quarter, Tesla had delivered over 95000 cars and thus achieved its best so far.	mittelbayerische.de.227707	Anlegern gefiel das: Teslas Aktien gingen mit einem Plus von über sechs Prozent aus dem Handel. So stark hat der Kurs seit fast vier Monaten nicht mehr zugelegt. Im zweiten Quartal hatte Tesla gut 95000 Autos ausgeliefert und damit seinen bisherigen Bestwert erreicht.	Investors liked this: Tesla shares closed the day with a gain of over six percent. The price has not increased so much in almost four months. In the second quarter, Tesla delivered around 95,000 cars and hit its best value to date.
Online-Z.1629	Musk needs records to reach his high goals. In 2019 he wants to deliver a total of 360000 to 400000 cars. This requires six figures in the current and next quarter. Especially the cheapest Tesla Model 3 is in demand, but here the profit margins are low. Despite the boom, there were last losses.	mittelbayerische.de.227707	Musk braucht Rekorde, um seine hohen Ziele zu erreichen. 2019 will er insgesamt 360000 bis 400000 Wagen ausliefern. Dafür müssen im laufenden und kommenden Vierteljahr sechsstellige Zahlen her. Vor allem der günstigste Tesla Model 3 ist gefragt, doch hier sind die Gewinnspannen gering. Trotz des Booms gab es zuletzt Verluste.	Musk needs records to achieve his ambitious goals. In 2019, he wants to deliver a total of 360,000 to 400,000 cars. The company would have to hit six-digit figures in the current and upcoming quarter to do so. The less expensive Tesla Model 3 is in particular demand, but its profit margins are low. There have been losses recently despite the boom.
Online-Z.1629	Riddle solved: That's why we can't tickle ourselves	tt.com.10303	Rätsel gelöst: Deswegen können wir uns nicht selbst kitzeln	Puzzle solved: This is why we cannot tickle ourselves
Online-Z.1629	Some kind of brake in the brain prevents people from tickling themselves. This is what scientists from Humboldt-Universität in Berlin found out with the help of experiments on rats, as they announced on Thursday evening. Progress has also been made on why children fight so hard against tickling, only to ask for more.	tt.com.10303	Eine Art Bremse im Großhirn verhindert, dass Menschen sich selber kitzeln können. Dies fanden Wissenschafter der Humboldt-Universität in Berlin mit Hilfe von Experimenten an Ratten heraus, wie sie am Donnerstagabend mitteilten. Dabei seien auch Fortschritte bei der Frage erzielt worden, warum Kinder sich so heftig gegen das Kitzeln wehren, nur um dann mehr zu verlangen.	There is a sort of a stopping brake in our cerebrum, preventing us from tickling ourselves. This was discovered by scientists at the Humboldt University in Berlin after conducting experiments on rats, as reported on Thursday. Progress was also made in answering the question as to why children resist tickling, only to ask for more later.
Online-Z.1629	Finally, it also showed why the sewing of a tickling hand alone triggers laughter even before the touch. This is because of a deep layer in the brain, which already triggers laughter at the expectation of tickling.	tt.com.10303	Schließlich habe sich auch gezeigt, warum allein das Näherkommen einer kitzelnden Hand schon vor der Berührung Lachen auslöst. Dies liege an einer tiefliegenden Schicht im Großhirn, die bereits bei der Erwartung des Kitzelns das Lachen auslöse.	It was also determined why the mere approach of a tickling hand triggers laughter ever before contact. The reason can be found in a deep layer of the cerebrum which triggers laughter even through only expectation of tickling.
Online-Z.1629	According to previous research, rats react with ′′ laughter ′′ in the ultrasound area when they are tickled by humans. This ′′ laughter ′′ is conveyed by the part of the cerebral cortex, which serves the central processing of haptic perception.	tt.com.10303	"Den Angaben zufolge zeigten frühere Forschungen, dass Ratten mit ""Lachen"" im Ultraschallbereich reagieren, wenn sie von Menschen gekitzelt werden. Dieses ""Lachen"" werde durch den Teil der Großhirnrinde vermittelt, welcher der zentralen Verarbeitung der haptischen Wahrnehmung diene."	"According to the data, previous research has shown that rats react by ""laughing"" in the ultrasonic range when tickled by humans. This ""laughter"" travels through the part of the cerebral cortex, which is used for the central processing of haptic perception."
Online-Z.1629	Laughing is suppressed during self touch	tt.com.10303	Lachen wird während Selbstberührung unterdrückt	The laughter is suppressed when the touch originates from the person themselves.
Online-Z.1629	So far, it has been assumed that the brain could distinguish between self-touch and touch by others - so that's why people can't tickle themselves. However, the Berlin researchers now found out during the experiments on the rats that laughter as well as the activity of the relevant area of the cerebral cortex are suppressed during a self-touch. This is also the case when living beings clean themselves. During the foreign touch and tickling by the scientists, however, the activity in the brain and the impulse to laugh were increased.	tt.com.10303	Bisher sei davon ausgegangen worden, dass das Gehirn zwischen Selbstberührung und Berührung durch Andere unterscheiden könne - also deshalb Menschen sich nicht selbst kitzeln können. Die Berliner Forscher fanden nun aber bei den Experimenten an den Ratten heraus, dass das Lachen ebenso wie die Aktivität des betreffenden Bereichs der Großhirnrinde während einer Selbstberührung unterdrückt werden. Dies sei auch so, wenn sich Lebewesen selbst putzen. Während der Fremdberührung und des Kitzelns durch die Wissenschafter seien die Aktivität im Hirn und der Impuls zu lachen aber verstärkt worden.	Until now, it was assumed that the brain is able to tell the difference between the touch originating from oneself, as opposed to from others, which would explain why people cannot tickle themselves. The researchers from Berlin have now discovered, from their experiments on rats that laughter and the activity of the cerebral cortex is suppressed during self-touching. This is also true when animals clean themselves. However, when the touching and tickling was done by the scientists, the brain activities as well as the impulse to laugh increased.
Online-Z.1629	But if the self-touch and touch by others at the same time, laughter is suppressed as well. This suggests that the rat's brain could not distinguish between the self-touch and the touch by others. The new findings suggested that people can't tickle themselves because self-touch activates a brake in the brain.	tt.com.10303	Passiere aber die Selbstberührung und die Berührung durch andere zur selben Zeit, sei das Lachen ebenfalls unterdrückt. Dies deute darauf hin, dass das Gehirn der Ratte eben nicht zwischen der Selbstberührung und der Berührung durch andere unterscheiden könne. Die neuen Erkenntnisse legten nahe, dass die Menschen sich nicht selbst kitzeln können, weil die Selbstberührung eine Bremse im Großhirn aktiviere.	And, if the self-touching and touching by another were to occur at the same time, the laughter is suppressed anyway. This indicated that the rat´s brain could not determine whether the touch came from itself or the scientists. The new findings explained that humans cannot tickle themselves because tickling triggers a stopping brake in the cerebrum.
Online-Z.1629	The rats were also trained to tickle themselves. In doing so, they sometimes stopped this initiation prematurely in the experiment, showed escape behaviour or rigorous scare. This ambivalence is equal to children's behavior. The ambivalence of tickling is a behavioral reaction that is equal in rats and people.	tt.com.10303	Die Ratten seien außerdem trainiert worden, selbst zu kitzeln. Dabei brachen sie diese Initiation im Experiment demnach manchmal vorzeitig ab, zeigten Fluchtverhalten oder Schreckstarre. Diese Ambivalenz gleiche dem Verhalten der Kinder. Die Ambivalenz des Kitzelns sei eine Verhaltensreaktion, die bei Ratten und Menschen gleich sei.	The rats were taught to tickle themselves. They sometimes stopped this activity prematurely, displaying flight behavior or paralysis. This ambivalence is similar to the way children behave. The tickle ambivalence is a behavioral reaction that is found in rats and humans.
Online-Z.1629	Catastrophe averted: Big fire extinguished in French chemical plant	mz-web.de.174850	Katastrophe abgewendet: Großbrand in französischem Chemiewerk gelöscht	Catastrophe averted: Major fire at French chemical plant extinguished
Online-Z.1629	The big fire in a chemical plant considered particularly dangerous in the northern French city of Rouen has been extinguished. This is what the prefecture of Normandy told AFP news agency on Friday. The fire had started that night to Thursday.	mz-web.de.174850	Der Großbrand in einem als besonders gefährlich geltenden Chemiewerk in der nordfranzösischen Stadt Rouen ist gelöscht. Das teilte die Präfektur der Normandie der Nachrichtenagentur AFP am Freitag mit. Das Feuer war in der Nacht zu Donnerstag ausgebrochen.	The large fire was put out at a chemical plant considered to be particularly hazardous and located in the northern French city of Rouen. The prefecture of Normandy reported the incident to the AFP news agency on Friday. The fire broke out Thursday night.
Online-Z.1629	According to the official information, no substances that are hazardous to health have emerged. Rehearsals taken don't give cause for concern, as Prefect Pierre-André Durand said at a press conference on Friday morning. No one was injured in the incident. The fire brigade was in action with around 200 extinguishing vehicles.	mz-web.de.174850	Nach Behördenangaben sollen keine gesundheitsgefährdenden Stoffe ausgetreten sein. Die genommenen Proben geben keinen Grund zur Beunruhigung, wie Präfekt Pierre-André Durand am Freitagmorgen bei einer Pressekonferenz sagte. Verletzt wurde bei dem Vorfall niemand. Die Feuerwehr war mit rund 200 Löschfahrzeugen im Einsatz.	According to information from officials, no hazardous material has escaped. The samples taken show no reason for alarm, said prefect Pierre-André Durand at a press conference Friday morning. No one was injured during the incident. The fire department deployed around 200 fire trucks.
Online-Z.1629	Schools and kindergartens have been closed	mz-web.de.174850	Schulen und Kindergärten wurden geschlossen	Schools and kindergartens were closed.
Online-Z.1629	Residents were called not to leave their homes. Buildings within 500 meters were evacuated, schools and kindergartens remained closed on Thursday.	mz-web.de.174850	Anwohner waren aufgerufen, ihre Häuser nicht zu verlassen. Gebäude im Umkreis von 500 Metern wurden evakuiert, Schulen und Kindergärten blieben am Donnerstag geschlossen.	Residents were asked not to leave their homes. Buildings within a radius of 1,650 feet were evacuated, and schools and kindergartens remained closed on Thursday.
Online-Z.1629	Factory belongs to Lubrizol by US billionaire Warren Buffett	mz-web.de.174850	Fabrik gehört zum Unternehmen Lubrizol von US-Milliardär Warren Buffett	Plant belongs to the company Lubrizol owned by US billionaire Warren Buffett
